Sort,Species,Date,Location,Notes
14,Eurasian Wigeon,12/28/1994,"Laguna Atascosa",""
15,American Wigeon,10/14/1990,"Chincoteague NWR",""
16,Mallard,8/15/1972,"Burke Lake Park",""
17,American Black Duck,10/22/1989,"Graysonville",""
18,Mottled Duck,4/27/1992,"J. N. ""Ding"" Darling NWR",""
19,Northern Pintail,9/17/1989,"Blackwater NWR",""
20,Green-winged Teal,11/19/1989,"Blackwater NWR",""
21,Canvasback,12/22/1991,"Harbor Hospital",""
22,Redhead,2/10/1991,"Loch Raven Reservoir",""
23,Ring-necked Duck,1/1/1991,"Loch Raven Reservoir",""
24,Tufted Duck,3/28/1992,"Grass Isand, Greenwich, CT",""
25,Greater Scaup,1/15/1977,"Annapolis Harbor",""
26,Lesser Scaup,1/15/1977,"Annapolis Harbor",""
27,Common Eider,5/15/1990,"Coast Guard Beach, Eastham, MA",""
28,Harlequin Duck,12/19/1992,"Ocean City Jetty",""
29,Surf Scoter,10/21/1991,"Cape May Meadows, Cape May, NJ",""
30,White-winged Scoter,1/17/1993,"Swann Park, Baltimore, MD",""
31,Black Scoter,10/10/1993,"Ocean City",""
32,Long-tailed Duck,5/15/1990,"Coast Guard Beach, Eastham, MA",""
33,Bufflehead,2/11/1990,"Bombay Hook NWR",""
34,Common Goldeneye,3/12/1985,"Staten Island Ferry Terminal",""
35,Hooded Merganser,2/9/1991,"Loch Raven Reservoir",""
36,Common Merganser,2/11/1990,"Bombay Hook NWR",""
37,Red-breasted Merganser,5/15/1990,"Coast Guard Beach, Eastham, MA",""
38,Ruddy Duck,2/11/1990,"Bombay Hook NWR",""
39,Plain Chachalaca,12/29/1994,"Bentsen Rio State Park, TX",""
40,Northern Bobwhite,5/14/1989,"Blackwater NWR",""
41,Scaled Quail,12/30/1994,"Santa Margarita Ranch",""
42,Gambel's Quail,4/19/2019,"Karen's Patio, Tucson, AZ",""
43,Ring-necked Pheasant,11/10/1983,"Eldersburg London Fog",""
44,Ruffed Grouse,6/29/1991,"Shenandoah National Park",""
45,Spruce Grouse,6/6/1994,"Joe Buck's Ridge, Churchill, Manitoba",""
46,Willow Ptarmigan,6/5/1994,"Goose Creek Rd, Churchill, Manitoba",""
47,Wild Turkey,10/4/1988,"1-95 north of Richmond, VA",""
48,Least Grebe,12/28/1994,"Sabal Palm Audubon Sanctuary",""
49,Pied-billed Grebe,10/14/1990,"Chinc NWR",""
50,Horned Grebe,12/15/1990,"Chinc NWR",""
51,Red-necked Grebe,2/19/1994,"Ocean City",""
52,Eared Grebe,12/25/1990,"White Rock Lake",""
53,Western Grebe,5/9/1993,"Barr Lake (NE of Denver)",""
54,Rock Pigeon,12/22/1991,"Fort McHenry, Baltimore, MD",""
55,Inca Dove,12/22/1994,"Texas Hill Country",""
56,Common Ground-Dove,4/27/1992,"J. N. ""Ding"" Darling NWR",""
57,White-tipped Dove,12/29/1994,"Bentsen Rio State Park, TX",""
58,White-winged Dove,4/19/2019,"Karen's Patio, Tucson, AZ",""
59,Mourning Dove,8/19/1972,"Springfield, VA",""
60,Yellow-billed Cuckoo,7/14/1988,"Patapsco State Park, MD",""
61,Black-billed Cuckoo,6/6/1993,"Ringler's Farm near Frostburg, MD",""
62,Greater Roadrunner,4/19/2019,"Karen's Patio, Tucson, AZ",""
63,Lesser Nighthawk,4/19/2019,"Karen's Patio, Tucson, AZ",""
64,Common Nighthawk,4/14/1990,"Erieville, NY",""
65,Common Pauraque,12/29/1994,"Bentsen Rio State Park, TX",""
66,Common Poorwill,4/22/2019,"Karen's Patio, Tucson, AZ",""
67,Chuck-will's-widow,5/15/1988,"Assateague NWR",""
68,Eastern Whip-poor-will,5/8/1991,"Cape Henlopen State Park",""
69,Chimney Swift,9/3/1978,"City of Annapolis, MD",""
70,White-throated Swift,5/9/1993,"Red Rocks Park (West of Denver)",""
71,Rivoli's Hummingbird,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
72,Ruby-throated Hummingbird,8/15/1988,"Patapsco Valley State Park",""
73,Black-chinned Hummingbird,1/8/1995,"Near Cecilton, MD",""
74,Anna's Hummingbird,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
75,Costa's Hummingbird,4/19/2019,"Karen's Patio, Tucson, AZ",""
76,Broad-tailed Hummingbird,5/9/1993,"Red Rocks Park (West of Denver)",""
77,Rufous Hummingbird,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
78,Broad-billed Hummingbird,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
